Name,AI Type,Commercial Type,Product,Description,Product Category,Package,Quick Filters,Availability,Identifier,Detail Page
"Master Data Governance","AI Feature","Premium","SAP S/4HANA Cloud Private Edition","Create master data change requests and generate summaries.","Financial Management","Joule Premium for Financial Management","","Generally Available","J151","https://discovery-center.cloud.sap/ai-feature/4cb78833-492a-43db-abb2-01747e7e4335/"
"Matching Improvement","AI Feature","Base","SAP Business Network for Procurement and Supply Chain","Find the best-fit suppliers based on requirements.","Supply Chain Management","","","Generally Available","J143","https://discovery-center.cloud.sap/ai-feature/bdb5f0f8-d4c9-424e-8b01-56713d44dedf/"
"Material Group Recommendations","AI Feature","Base","SAP Ariba Central Procurement","Suggest the most relevant material groups based on purchase orders.","Spend Management","","","Generally Available","J830","https://discovery-center.cloud.sap/ai-feature/6aa3651e-47b6-400b-87db-64b185fee92b/"
"Meeting Location Planner Agent","AI Agent","Base","","Helps executive assistant to organize offsite meetings.","Spend Management","","Joule","Early Adopter Care (EAC)","J326","https://discovery-center.cloud.sap/ai-feature/65b25edc-21cc-4b54-8f3c-eb4524ab3117/"
"Microsoft Teams Chat","AI Feature","Premium","SAP SuccessFactors solutions","Interact using natural language‚ get to your features and information faster.","Human Capital Management","Joule Premium for Human Capital Management","","Generally Available","J142","https://discovery-center.cloud.sap/ai-feature/0270dc31-dd49-4b30-a42a-5c6c3c16b11b/"
"Mobile Execution","AI Feature","Premium","SAP Service and Asset Manager","Voice-to-text for faster‚ accurate job reporting in the field.","Supply Chain Management","","","Generally Available","J311","https://discovery-center.cloud.sap/ai-feature/6c9a0bd1-95db-4b4c-8c12-c8c0e36898c2/"
"MRO Inventory Analysis","AI Feature","Premium","SAP Integrated Business Planning","Analyze safety stock and reorder outputs to support root cause analysis.","Supply Chain Management","Joule Premium for Supply Chain Management","","Generally Available","J1000","https://discovery-center.cloud.sap/ai-feature/5fa5aaf1-ef2b-46c9-bf8e-b0038f6c4405/"
"Natural Language Query","AI Feature","Base","SAP Analytics Cloud","Deliver tailored‚ contextual insights on user questions in natural language.","Technology Platform","","","Generally Available","J25","https://discovery-center.cloud.sap/ai-feature/6a655660-1f00-4b22-a6e4-b79167b527ec/"
"NLP Classification","AI Feature","Base","SAP Enterprise Service Management","Identify sentiment from emails.","Customer Relationship Management","","","Generally Available","J803","https://discovery-center.cloud.sap/ai-feature/7e1292bd-302d-4a6f-903d-77267cd92ec1/"
"NLP Classification","AI Feature","Base","SAP Sales Cloud Version 2","Identify sentiment from emails.","Customer Relationship Management","","","Generally Available","J797","https://discovery-center.cloud.sap/ai-feature/537d4f2d-e388-4ce0-9663-1f4d15adf235/"
"NLP Classification","AI Feature","Base","SAP Service Cloud Version 2","Identify sentiment from emails.","Customer Relationship Management","","","Generally Available","J852","https://discovery-center.cloud.sap/ai-feature/54affede-32fc-46b4-b9bf-c04eb12d341d/"
"Note Corrections for Project Billing","AI Feature","Premium","SAP S/4HANA Cloud Public Edition","Propose grammatically correct notes for project billing request items.","Financial Management","Joule Premium for Financial Management","","Generally Available","J346","https://discovery-center.cloud.sap/ai-feature/cab0dc5c-6c85-4d8e-963a-cad7a64e012a/"
"O*NET Labelling","AI Feature","Base","SAP Fieldglass Contingent Workforce Management","Recommend O*NET codes for job classifications.","Spend Management","","","Generally Available","J845","https://discovery-center.cloud.sap/ai-feature/91ab4a9a-a6ec-4b3a-a06d-7e530af84f2c/"
"Optimal Order Quantities","AI Feature","Base","SAP Predictive Replenishment","Optimize order quantities for groups of products according to objectives.","Supply Chain Management","","","Generally Available","J834","https://discovery-center.cloud.sap/ai-feature/114a2d42-80fc-4fa3-bf8c-b405dc81d9ab/"
"Outlier Job Detection","AI Feature","Base","SAP Integrated Business Planning","Detect jobs that are taking longer or shorter than expected.","Supply Chain Management","","","Generally Available","J820","https://discovery-center.cloud.sap/ai-feature/708721ca-6e0f-472c-9bee-21bb3bb03a1b/"
"Payment Exception Analysis","AI Feature","","SAP S/4HANA Cloud Public Edition","Analyze payment exceptions and discover recommended resolutions.","Financial Management","","","Beta","J375","https://discovery-center.cloud.sap/ai-feature/016c719c-5363-47ff-945f-cdddd5241871/"
"Performance Goal Creation","AI Feature","Premium","SAP SuccessFactors Performance and Goals","Build meaningful and inspiring performance goals.","Human Capital Management","Joule Premium for Human Capital Management","","Generally Available","J38","https://discovery-center.cloud.sap/ai-feature/231d6a91-c550-4bca-8de7-b903cb7e7f5b/"
"Performance Indicators Recommender","AI Feature","Premium","SAP Signavio solutions","Discover metrics relevant for your business.","Business Transformation Management","","Joule","Generally Available","J120","https://discovery-center.cloud.sap/ai-feature/4be4b091-a23d-4f59-975e-65cb6a4a8fc5/"
"Performance Insights","AI Feature","Premium","SAP SuccessFactors Performance and Goals","Get insights on an employee's performance based on the feedback received.","Human Capital Management","Joule Premium for Human Capital Management","","Generally Available","J272","https://discovery-center.cloud.sap/ai-feature/3724bee9-7e25-4416-b9c9-b03cbb37d7b6/"
"Performance Preparation Agent","AI Agent","Base","","Provide managers data-driven insights before 1:1 with employees.","Human Capital Management","","Joule","Generally Available","J671","https://discovery-center.cloud.sap/ai-feature/761a2305-b0a2-4262-b9a3-abd4945ad314/"
"Permit Management","AI Feature","","SAP S/4HANA Cloud Public Edition","Automatically extract and setup permit data from document.","Cloud ERP applications","","Featured","Beta","J344","https://discovery-center.cloud.sap/ai-feature/89944fea-d96d-453c-9684-fe2b2c9cbb51/"
"Person Insights for Compensation Discussions","AI Feature","Premium","SAP SuccessFactors Employee Central","Generate insights into an employee's compensation.","Human Capital Management","Joule Premium for Human Capital Management","Joule","Generally Available","J40","https://discovery-center.cloud.sap/ai-feature/48c886ad-45f2-4263-a249-2584c2b5a877/"
"Personalization Rules","AI Feature","Base","SAP Engagement Cloud","Tailor the recommended product set to your business needs.","Customer Relationship Management","","","Generally Available","J838","https://discovery-center.cloud.sap/ai-feature/5860e88c-cf84-4552-94aa-dc1756ddc995/"
"Personalized Learning Recommendations","AI Feature","Base","SAP SuccessFactors Learning","Get personalized AI-driven learning recommendations based on skills and role.","Human Capital Management","","","Generally Available","J1279","https://discovery-center.cloud.sap/ai-feature/9e0871fa-e745-4aba-89b0-5b7b3699fb32/"
"Personalized Opportunities Recommendations","AI Feature","Base","SAP SuccessFactors Career and Talent Development","Improve assignment and open job recommendations.","Human Capital Management","","","Generally Available","J996","https://discovery-center.cloud.sap/ai-feature/89c64e94-9341-4fc2-8f8b-1c05c19cc0f8/"
"Personalized Search","AI Feature","Base","Intelligent Selling Services for SAP Commerce Cloud","Displays search results with products tailored to users’ interests.","Customer Relationship Management","","","Generally Available","J922","https://discovery-center.cloud.sap/ai-feature/7d8e2b6c-cc25-466c-9037-ee756ce90bd8/"
"Policy Assistance","AI Feature","Base","Concur Expense","Boost policy awareness and drive compliance with AI-generated policy trip tips.","Spend Management","","","Early Adopter Care (EAC)","J454","https://discovery-center.cloud.sap/ai-feature/6e510fad-120e-4b9a-9eb1-e1cfb5352436/"
"Popular Items","AI Feature","Base","SAP Ariba Buying","Discover popular items in your company's catalog.","Spend Management","","","Generally Available","J809","https://discovery-center.cloud.sap/ai-feature/60dc710e-feb8-44ce-9f05-c3f5d999fbb0/"
"Posting Issue Handling for Billing Documents","AI Feature","Base","SAP S/4HANA Cloud Public Edition","Assist billing clerks to efficiently process billing docs with posting issues.","Financial Management","","Joule","Generally Available","J355","https://discovery-center.cloud.sap/ai-feature/f558354e-8de3-4b95-ae75-4cc5055cf911/"
"Predictive Labor Demand Planning","AI Feature","Base","SAP Extended Warehouse Management","Predict planned workload data based on picking and packing outbound processes.","Cloud ERP applications","","","Generally Available","J237","https://discovery-center.cloud.sap/ai-feature/9deeeefb-fd9f-422f-9fbe-e236f2e53cad/"
"Predictive Planning","AI Feature","Base","SAP Analytics Cloud","Predictive planning creates accurate forecasts to speed up planning activities.","Technology Platform","","","Generally Available","J894","https://discovery-center.cloud.sap/ai-feature/07cbfbe5-5fec-4f2f-9e5b-8a7c2dfd6d74/"
"Predictive Routing","AI Feature","Base","SAP Field Service Management","Predict realistic driving distances and times.","Supply Chain Management","","","Generally Available","J828","https://discovery-center.cloud.sap/ai-feature/3f5f1534-0869-43e4-93ae-e60814d380fa/"
"Predictive Subject Dynamics","AI Feature","Base","SAP Intelligent Clinical Supply Management","Predict patient enrollment and dropouts for accurate clinical supply planning.","Supply Chain Management","","","Generally Available","J328","https://discovery-center.cloud.sap/ai-feature/bbec33b6-b688-4ccd-8bb2-cbc6631e83e8/"
"Problem Report Creation","AI Feature","Base","SAP Integrated Product Development","Enable engineers to create structured maintenance reports in natural language.","Supply Chain Management","","Joule","Generally Available","J1314","https://discovery-center.cloud.sap/ai-feature/971035b1-d2a3-4644-8e3a-9ebc79e2dbd2/"
"Process Analyzer‚ Automated Mapping","AI Feature","","SAP Signavio Process Intelligence","Map various inputs based on their context.","Technology Platform","","","Beta","J1122","https://discovery-center.cloud.sap/ai-feature/6c6eb8d1-764c-4727-b8d5-4911607f89b8/"
"Process Analyzer‚ Text to Insight","AI Feature","Base","SAP Signavio solutions","Prompt to discover insights from your data.","Business Transformation Management","","","Generally Available","J112","https://discovery-center.cloud.sap/ai-feature/a6dde1d9-6da4-443f-874a-e6eb183e2bd5/"
"Process Analyzer‚ Text To Widget","AI Feature","Base","SAP Signavio solutions","Generate dashboard widgets with natural language queries.","Business Transformation Management","","","Generally Available","J212","https://discovery-center.cloud.sap/ai-feature/6d74c5e9-32c1-443c-be23-c7ebbc51d573/"
"Process Content Recommender Agent","AI Agent","","","Intelligently recommends relevant process content in SAP Signavio.","Business Transformation Management","","Joule","Beta","J940","https://discovery-center.cloud.sap/ai-feature/aa94ac46-bbb3-405e-a7f9-1e14e9bc16db/"
"Process Editing","AI Feature","Base","SAP Build Process Automation","Support process design with natural language editing for automation artifacts.","Technology Platform","","","Generally Available","J639","https://discovery-center.cloud.sap/ai-feature/143f1e51-609a-45d9-ab96-bf286e044a03/"
"Process Generation","AI Feature","Base","SAP Build Process Automation","Generate process artifacts from natural language to support process automation.","Technology Platform","","","Generally Available","J638","https://discovery-center.cloud.sap/ai-feature/50a434ab-f63c-4f3f-a5d2-c661b5d461f2/"
"Process Modeler","AI Feature","Premium","SAP Signavio solutions","Generate a BPMN diagram from a text description or image of a business process.","Business Transformation Management","","","Generally Available","J213","https://discovery-center.cloud.sap/ai-feature/84eb743d-acdb-48ff-b933-ec51fe9f5f12/"
"Process Recommender","AI Feature","Premium","SAP Signavio solutions","Get instant best practice recommendations.","Business Transformation Management","","Joule","Generally Available","J121","https://discovery-center.cloud.sap/ai-feature/0568e3e9-bef3-46d5-8b51-f519d8838320/"
"Process Summarization","AI Feature","Base","SAP Build Process Automation","Generate business summaries for undocumented process models.","Technology Platform","","","Generally Available","J640","https://discovery-center.cloud.sap/ai-feature/69b0874a-e8a6-49e3-b66c-4a6c5b1fd77f/"
"Processing of Incoming Quality Certificates with SAP Document AI","AI Feature","Premium","SAP S/4HANA Cloud Public Edition","Automatically process incoming quality certificate documents.","Cloud ERP applications","","","Generally Available","J358","https://discovery-center.cloud.sap/ai-feature/3fd5ea00-34fa-487e-a76a-be112a71220a/"
"Processing of Payment Advices with SAP Document AI","AI Feature","Premium","SAP S/4HANA Cloud Public Edition","Automate payment-advice processing to reduce errors and manual fixes.","Cloud ERP applications","","","Generally Available","J1104","https://discovery-center.cloud.sap/ai-feature/988b6b7c-ac4f-4c5f-be46-0366c7dc5a2e/"
"Product Descriptions","AI Feature","Premium","SAP CX AI Toolkit","Create personalized product descriptions that enrich your catalog data.","Customer Relationship Management","Joule Premium for Customer Experience","Joule","Generally Available","J11","https://discovery-center.cloud.sap/ai-feature/26ba4bf2-a78e-444c-ab9f-99ff2df5ee3e/"
"Product Finder","AI Feature","Premium","SAP Engagement Cloud","Find and insert products into emails using AI-powered search.","Customer Relationship Management","Joule Premium for Customer Experience","","Generally Available","J361","https://discovery-center.cloud.sap/ai-feature/d8cc96bf-328c-4990-90e4-f8b40531cd0d/"
"Product Recommendation","AI Feature","Base","SAP Sales Cloud Version 2","Make quick upselling offers to customers.","Customer Relationship Management","","","Generally Available","J800","https://discovery-center.cloud.sap/ai-feature/05abefb4-3b91-4fb0-8066-d0015c614c57/"
"Product Recommendations","AI Feature","Base","SAP Assortment Planning","Get system-generated product recommendations for your assortment.","Customer Relationship Management","","","Generally Available","J812","https://discovery-center.cloud.sap/ai-feature/1f5b7c78-b43f-468c-b577-934a6d89447e/"
"Product Recommendations","AI Feature","Base","Intelligent Selling Services for SAP Commerce Cloud","Show visitors the right products at the right time in their shopping journey.","Customer Relationship Management","","","Generally Available","J805","https://discovery-center.cloud.sap/ai-feature/07502ba4-aca2-405a-99f2-671d9c4ff94a/"
"Product Slotting","AI Feature","Base","SAP Extended Warehouse Management","Determine product attributes for new products in the warehouse.","Supply Chain Management","","","Generally Available","J857","https://discovery-center.cloud.sap/ai-feature/dcc6b99e-4545-40bc-beef-fd85272062d7/"
"Product Tagging","AI Feature","Premium","SAP CX AI Toolkit","Extract and enrich your product tags with AI.","Customer Relationship Management","Joule Premium for Customer Experience","","Generally Available","J12","https://discovery-center.cloud.sap/ai-feature/f68c60a5-ac32-4124-80dd-7b9dc1258061/"
"Production Engineering","AI Feature","","SAP Digital Manufacturing","Setup and manage production processes efficiently.","Supply Chain Management","","","Beta","J611","https://discovery-center.cloud.sap/ai-feature/559401aa-0738-4448-b3cb-96d75802e463/"
"Production Planning and Operations Agent","AI Agent","","","Accelerate order-to-delivery by releasing orders in half the time.","Cloud ERP applications","","Joule","Beta","J383","https://discovery-center.cloud.sap/ai-feature/2bac78a3-811f-456f-b950-a4fb3e7d2ac5/"
"Profanity Check","AI Feature","Base","SAP Enterprise Service Management","Define a set of pejorative vocabulary.","Customer Relationship Management","","","Generally Available","J816","https://discovery-center.cloud.sap/ai-feature/4db1437d-b807-4305-8f31-26815af1b898/"
"Profanity Check","AI Feature","Base","SAP Service Cloud Version 2","Define a set of pejorative vocabulary.","Customer Relationship Management","","","Generally Available","J794","https://discovery-center.cloud.sap/ai-feature/7d48b7ea-dde6-40fe-a257-5cad59a19fee/"
"Project Services","AI Feature","Base","SAP S/4HANA Cloud Public Edition","Manages project tasks through a conversational interface.","Cloud ERP applications","","Joule","Generally Available","J586","https://discovery-center.cloud.sap/ai-feature/bccabd59-564e-4a4d-84b3-67d6933348cd/"
"Project Setup Agent","AI Agent","","","Help project managers quickly set up projects using past project data.","Cloud ERP applications","","New","Beta","J872","https://discovery-center.cloud.sap/ai-feature/49c08b5c-583b-4108-ba23-401c3da051cf/"
"Q&A Agent","AI Agent","Premium","","Autonomously process and answer questions from existing customer data.","Customer Relationship Management","Joule Premium for Customer Experience","Featured","Generally Available","J939","https://discovery-center.cloud.sap/ai-feature/8babb1dd-2669-44d4-879e-32d86033a40d/"
"Quote Creation Agent","AI Agent","Premium","","Automate quote generation in SAP Cloud for Customer.","Customer Relationship Management","Joule Premium for Customer Experience","Featured","Generally Available","J657","https://discovery-center.cloud.sap/ai-feature/915726b6-d078-4d9a-bf0b-fb3e7b323335/"
"Receipt Analysis Agent","AI Agent","Base","","ExpenseIt powered by Receipt Analysis Agent accurately extracts receipt data.","Spend Management","","","Early Adopter Care (EAC)","J882","https://discovery-center.cloud.sap/ai-feature/2874809e-283f-4c8e-80d4-cadc7d49e76d/"
"Recommended Material Groups","AI Feature","Base","SAP Ariba Buying","Get material group recommendations based on product name and description.","Spend Management","","","Generally Available","J808","https://discovery-center.cloud.sap/ai-feature/137007a4-ec25-47ab-8ee8-25770f505bf0/"
"Registered Product Summary","AI Feature","Premium","SAP Service Cloud Version 2","Generate registered product summaries.","Customer Relationship Management","Joule Premium for Customer Experience","","Generally Available","J789","https://discovery-center.cloud.sap/ai-feature/0455ae3c-38bc-4b0c-b9a6-c6a08f0ed64e/"
"Report Builder","AI Feature","Base","SAP Engagement Cloud","Flexible reporting with generative AI.","Customer Relationship Management","","","Generally Available","J537","https://discovery-center.cloud.sap/ai-feature/e398c338-0149-4add-8469-accbf9115416/"
"Request Assistant","AI Feature","Base","Concur Request","Estimate costs when planning business trips.","Spend Management","","","Generally Available","J101","https://discovery-center.cloud.sap/ai-feature/04b097c6-f18c-4ae0-a869-6c0736ec5e7f/"
"Requirement Generation","AI Feature","Premium","SAP Cloud ALM","Generate requirements from meeting notes to improve Fit-to-Standard workshops.","Technology Platform","","","Generally Available","J778","https://discovery-center.cloud.sap/ai-feature/e5701d25-2615-49ad-acf3-4f2a6363a206/"
"Requirements Model Creation","AI Feature","Base","SAP Integrated Product Development","Create requirement models with natural language.","Supply Chain Management","","Joule","Generally Available","J983","https://discovery-center.cloud.sap/ai-feature/897e0a14-4ff8-4907-abcc-79c39b4290c8/"
"Requirements Processing","AI Feature","Premium","SAP Intelligent Product Recommendation","Extract needs from unstructured text description of customer requirements.","Customer Relationship Management","Joule Premium for Financial Management","Featured","Generally Available","J59","https://discovery-center.cloud.sap/ai-feature/875f25ea-0abb-47e9-99b4-8722c17aa55d/"
"Resolution of Implausible Meter Readings","AI Feature","Base","SAP S/4HANA Cloud Private Edition","Enables machine learning-based processing of implausible meter readings in IS-U.","Cloud ERP applications","","","Generally Available","J824","https://discovery-center.cloud.sap/ai-feature/4d67f2b1-6f72-4c6f-bce3-e6d4c0e89b1c/"
"Resolution of Outsorted Billing Documents","AI Feature","Base","SAP S/4HANA Cloud Private Edition","Process outsorted billing documents in IS-U.","Cloud ERP applications","","","Generally Available","J825","https://discovery-center.cloud.sap/ai-feature/f9a4201e-955f-4aaf-b41a-d2479fb13ed1/"
"Resume Assessment","AI Feature","Base","SAP Fieldglass Contingent Workforce Management","Evaluate how compatible is a job seeker's resume with a job posting.","Spend Management","","","Generally Available","J847","https://discovery-center.cloud.sap/ai-feature/39cbb1de-26fb-4412-8d09-344a26cdf689/"
"Retrieval of Equipment Information in Service Management","AI Feature","Premium","SAP S/4HANA Cloud Private Edition","Give service managers a 360° view of service history on customer equipment.","Cloud ERP applications","Joule Premium for Supply Chain Management","Joule","Generally Available","J777","https://discovery-center.cloud.sap/ai-feature/3de36a16-73ca-4df6-94d2-ccd0dc806192/"
"Role-based Process Overview","AI Feature","","SAP Signavio Process Collaboration Hub","Get a personalized view of key processes‚ tools‚ and content for your role.","Business Transformation Management","","","Beta","J331","https://discovery-center.cloud.sap/ai-feature/e4b92ea3-f81d-4f95-9afd-368b563700ad/"
"Run Forecasts in Time Series or Line Charts","AI Feature","Base","SAP Analytics Cloud","Automatically predict future data values in stories time series and line charts.","Technology Platform","","","Generally Available","J885","https://discovery-center.cloud.sap/ai-feature/6ddc1967-60b4-4d85-b50e-121f4589d27e/"
"Safety Instruction Generation","AI Feature","","SAP S/4HANA Cloud Public Edition","Generate safety instructions grounded on risk assessments.","Cloud ERP applications","","","Beta","J756","https://discovery-center.cloud.sap/ai-feature/76d64fc7-204e-4a1f-979c-2a75a7a4ce29/"
"Safety Observation Reporting","AI Feature","","SAP S/4HANA Cloud Public Edition","Enable users to report safety observations with natural language.","Cloud ERP applications","","Joule","Beta","J596","https://discovery-center.cloud.sap/ai-feature/c3691d08-1455-4c6a-8cea-e524489e5b69/"
"Sales Order Automatic Completion","AI Feature","Base","SAP S/4HANA Cloud Public Edition","Streamline sales order completion with recommendations.","Cloud ERP applications","","","Generally Available","J43","https://discovery-center.cloud.sap/ai-feature/39a49e49-3ab6-46f5-889d-2035d9378cab/"
"Sales Order Creation","AI Feature","Base","SAP S/4HANA","Create sales orders from unstructured data.","Cloud ERP applications","","","Generally Available","J846","https://discovery-center.cloud.sap/ai-feature/451531fc-438b-4ecd-a3be-3efb74cb99f5/"
"Sales Order Creation","AI Feature","Base","SAP S/4HANA Cloud Public Edition","Create sales orders from unstructured data.","Cloud ERP applications","","","Generally Available","J831","https://discovery-center.cloud.sap/ai-feature/5d3d1312-92d7-478a-8e95-f0f0130f5666/"
"Sales Order Creation","AI Feature","Base","SAP S/4HANA Cloud Private Edition","Create sales orders from unstructured data.","Cloud ERP applications","","","Generally Available","J832","https://discovery-center.cloud.sap/ai-feature/836b7ca4-0177-4757-8152-51846c586f1e/"
"Sales Order Creation from Unstructured Data","AI Feature","Premium","SAP S/4HANA Cloud Public Edition","Seamlessly create sales orders from unstructured data.","Cloud ERP applications","","","Generally Available","J404","https://discovery-center.cloud.sap/ai-feature/ffd1d0b2-76fc-4e1f-b1fd-523ec82bae54/"
"Sales Order Fulfillment Monitoring","AI Feature","Premium","SAP S/4HANA Cloud Private Edition","Monitor and resolve order fulfillment issues with AI.","Cloud ERP applications","Joule Premium for Financial Management","Joule","Generally Available","J169","https://discovery-center.cloud.sap/ai-feature/16fe0c99-25ff-48e2-81e5-f100d4c64767/"
"Sales Order Status Check","AI Feature","Base","SAP S/4HANA Cloud Public Edition","Track sales order fulfillment and spot issues blocking completion.","Financial Management","","Joule","Generally Available","J1047","https://discovery-center.cloud.sap/ai-feature/8e12da05-b0e4-490f-9cf4-0cc2a9482f71/"
"Sales Order Summary","AI Feature","Premium","SAP Sales Cloud Version 2","Analyze and present insights from pricing simulations in sales orders.","Customer Relationship Management","Joule Premium for Customer Experience","","Generally Available","J758","https://discovery-center.cloud.sap/ai-feature/86ea8564-93d1-49b7-af83-896e5e3f20a2/"
"SAP Document AI‚ embedded edition","AI Feature","Premium","SAP SuccessFactors solutions","Automated data extraction and import from uploaded National ID documents.","Human Capital Management","","","Generally Available","J1076","https://discovery-center.cloud.sap/ai-feature/81fc725e-d4e3-4df1-a46d-085c2f2e0fb1/"
"SAP HANA application migration","AI Feature","Base","SAP HANA Cloud","Automate SAP HANA XS/XSA service layer migration to SAP CAP using GenAI.","Technology Platform","","","Generally Available","J180","https://discovery-center.cloud.sap/ai-feature/14bbef6b-5d85-4221-bd0e-342f569ef628/"
"SAP Joule action bar (On-Demand)","AI Feature","Premium","WalkMe","An intelligent overlay that delivers AI on any application - SAP and beyond.","Technology Platform","","Joule","Early Adopter Care (EAC)","J1054","https://discovery-center.cloud.sap/ai-feature/4f879550-f761-4e34-a13e-e55088257d82/"
"SAP Joule action bar (Proactive)","AI Feature","Premium","WalkMe","An intelligent overlay that delivers AI on any application - SAP and beyond.","Technology Platform","","Joule","Early Adopter Care (EAC)","J1019","https://discovery-center.cloud.sap/ai-feature/39a63888-9e1a-46b7-b669-aab32195f8fa/"
"SAP Joule for Consultants","AI Feature","Premium","SAP Joule for Consultants","Accelerate SAP projects and cloud transformations with AI assistance.","Technology Platform","SAP Joule for Consultants","Featured‚Joule","Generally Available","J146","https://discovery-center.cloud.sap/ai-feature/3c3c6f7d-7310-47a9-ae52-d7ddd2f0c2f2/"
"Screen Guide Agent","AI Agent","","","Accelerate understanding and adoption of SAP Signavio","Business Transformation Management","","Joule","Beta","J1130","https://discovery-center.cloud.sap/ai-feature/1be89884-5087-4293-9b9e-da35987fe9bc/"
"Script Optimization","AI Feature","Base","SAP Integration Suite","Optimize custom scripts effortlessly.","Technology Platform","","","Generally Available","J147","https://discovery-center.cloud.sap/ai-feature/99357ead-1ee2-4b9d-9b2f-f74d10f09262/"
"Script Task Generation","AI Feature","Base","SAP Build Process Automation","Generate executable JavaScript codes with natural language.","Technology Platform","","","Generally Available","J644","https://discovery-center.cloud.sap/ai-feature/f2310927-98ed-410a-86bb-1ca9ece68e21/"
"Search Term Suggestions","AI Feature","Base","Intelligent Selling Services for SAP Commerce Cloud","Analyzes user search phrases and displays the most popular results.","Customer Relationship Management","","","Generally Available","J806","https://discovery-center.cloud.sap/ai-feature/f89c8657-4f82-42b3-9163-4dfb82484b7a/"
"Semantic Generation","AI Feature","Premium","SAP Datasphere","Generate business semantics for non-SAP data sources.","Technology Platform","","","Generally Available","J329","https://discovery-center.cloud.sap/ai-feature/d22ae902-3e3d-4c78-9f8e-a656ecd2686d/"
"Send Time Optimization","AI Feature","Base","SAP Engagement Cloud","Optimize sending time of your email campaigns.","Customer Relationship Management","","","Generally Available","J839","https://discovery-center.cloud.sap/ai-feature/5ee667c1-5e60-42e5-987a-28a5686cb83f/"
"Sentiment Analysis in 360 Reviews","AI Feature","Premium","SAP SuccessFactors Performance and Goals","Analyze the sentiment of a feedback delivered in a 360 review.","Human Capital Management","Joule Premium for Human Capital Management","","Generally Available","J268","https://discovery-center.cloud.sap/ai-feature/fbff7183-4055-4a73-ba53-a19ff4ece39f/"
"Shopping Agent","AI Agent","Premium","","Transform your online shopping experience with an AI shopping agent.","Customer Relationship Management","","Featured‚Joule","Generally Available","J278","https://discovery-center.cloud.sap/ai-feature/a106376a-e832-4ee5-a8cc-3e2cc0c64ecc/"
"Similar Case Recommendation","AI Feature","Base","SAP Enterprise Service Management","Find solutions from similar cases from the past and apply to the current case.","Customer Relationship Management","","","Generally Available","J802","https://discovery-center.cloud.sap/ai-feature/4ed5f9f0-3521-4250-ab1e-066de78c7db1/"
"Similar Case Recommendation","AI Feature","Base","SAP Service Cloud Version 2","Find solutions from previous similar cases that can be applied to your case.","Customer Relationship Management","","","Generally Available","J851","https://discovery-center.cloud.sap/ai-feature/ce71187b-3bb2-4771-9105-c6a220b66783/"
"Skill Based Job Posting","AI Feature","Base","SAP Fieldglass Contingent Workforce Management","AI-powered skill-based hiring for faster‚ smarter talent matching.","Spend Management","","","Generally Available","J282","https://discovery-center.cloud.sap/ai-feature/65d27c45-c084-4ac6-af73-13eeeeb8eb37/"
"Skill Builder","AI Feature","Base","Joule Studio","Extend Joule with skills that fit your unique needs.","Technology Platform","","Featured‚Joule","Generally Available","J195","https://discovery-center.cloud.sap/ai-feature/e93aa292-e7f4-449d-9586-f1a8510d5ab6/"
"Skill Identification from Resume","AI Feature","Premium","SAP SuccessFactors solutions","Identify skills from a resume and display the skills on the Growth Portfolio.","Human Capital Management","Joule Premium for Human Capital Management","","Generally Available","J1058","https://discovery-center.cloud.sap/ai-feature/653d712b-c53c-4f46-a75f-b3235313373c/"
"Skill Inference for Assignment Creation","AI Feature","Premium","SAP SuccessFactors Opportunity Marketplace","Create and edit assignments using generative AI.","Human Capital Management","Joule Premium for Human Capital Management","","Generally Available","J769","https://discovery-center.cloud.sap/ai-feature/19be382b-8169-4310-8365-b8b2e7f88c2d/"
"Skill Inference for Continuous Performance Mgmt","AI Feature","Premium","SAP SuccessFactors Performance and Goals","Infer skills to employees using Continuous Performance Management data.","Human Capital Management","Joule Premium for Human Capital Management","","Generally Available","J772","https://discovery-center.cloud.sap/ai-feature/0b01a305-b10b-4891-82ad-7be208aadf7b/"
"Skill Inference for Learning","AI Feature","Premium","SAP SuccessFactors Learning","Associate skills with learning items in bulk through the import process.","Human Capital Management","Joule Premium for Human Capital Management","","Generally Available","J774","https://discovery-center.cloud.sap/ai-feature/b06f79b0-a8f9-45da-8303-8c112128e444/"
"Skills Architecture Creation","AI Feature","Premium","SAP SuccessFactors solutions","Create an AI-based skills library from job profiles.","Human Capital Management","Joule Premium for Human Capital Management","","Generally Available","J64","https://discovery-center.cloud.sap/ai-feature/4fb112d7-8daf-4a5f-9a7c-d132c129b193/"
"Skills Inference for Open Content Network","AI Feature","Base","SAP SuccessFactors Learning","Associate skills with Open Content Network (OCN) items.","Human Capital Management","","","Generally Available","J771","https://discovery-center.cloud.sap/ai-feature/9d527a11-ada5-466b-95d0-6a3e30ee8543/"
"Skills Standardization","AI Feature","Base","SAP SuccessFactors solutions","Use the industry-standard skill names in the Attributes Library.","Human Capital Management","","","Generally Available","J770","https://discovery-center.cloud.sap/ai-feature/a2a77a5f-3ce0-4257-bbac-51de82b90f91/"
"Smart Actions","AI Feature","Premium","SAP CX AI Toolkit","Proactive AI Insights for your emails‚ meetings‚ and more.","Customer Relationship Management","Joule Premium for Customer Experience","Joule","Generally Available","J15","https://discovery-center.cloud.sap/ai-feature/c5a858eb-0f2c-4b03-abc2-cccdc2eab814/"
